subid	read.5	read.6	read.7	read.8	math.5	math.6	math.7	math.8	risk
1	172	185	179	194	189	186	183	199	HHM
2	200	210	209	-99	215	206	192	209	HHM
3	191	199	203	215	196	216	206	232	HHM
4	200	195	194	-99	210	175	224	-99	HHM
5	207	213	212	213	206	232	188	-99	HHM
6	191	189	206	195	198	192	223	246	HHM
7	199	208	213	218	205	191	205	200	POV
8	191	194	194	-99	211	218	222	-99	POV
9	149	154	174	177	166	172	199	201	POV
10	200	212	213	-99	195	217	239	-99	POV
11	178	191	193	199	187	213	205	247	POV
12	188	192	208	206	235	215	248	243	POV
13	228	236	228	239	244	266	259	267	ADV
14	199	210	225	235	207	238	215	208	ADV
15	218	223	236	-99	225	237	229	-99	ADV
16	228	226	234	227	218	257	244	260	ADV
17	201	210	208	219	204	215	219	212	ADV
18	218	220	217	221	214	236	243	223	ADV
19	215	216	221	-99	216	210	210	-99	ADV
20	204	215	219	214	212	217	217	217	ADV
21	237	241	243	-99	242	242	242	-99	ADV
22	219	233	236	-99	235	236	238	-99	ADV
