ID	Group	Session	Block	BlockInt0	Difficult	DiffNum	DiffChange	Change	Increase	DiffPrev	Score	ScoreM1	Caught	CatchTime	Hit	PreScore	FA	US	AES	END	NOV	INV	EngTotal	Enj	Comp	Effort	Tens	ImiTotal
s001	self	Prac	1	-1	n1	1	NA	NA	NA	NA	1549	NA				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	2	0	n2	2	1	1	1	1	1504	1549				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	3	1	n2	2	0	0	0	2	1509	1504				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	4	2	n3	3	1	1	1	2	1624	1509				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	5	3	p1	4	1	1	1	3	1088	1624				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	6	4	p1	4	0	0	0	4	1483	1088				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	7	5	p2	5	1	1	1	4	1202	1483				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	8	6	p3	6	1	1	1	5	1128	1202				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	9	7	p3	6	0	0	0	6	1017	1128				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	10	8	p3	6	0	0	0	6	1327	1017				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	11	9	e1	7	1	1	1	6	195	1327				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	12	10	e1	7	0	0	0	7	203	195				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	13	11	e1	7	0	0	0	7	239	203				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	14	12	e1	7	0	0	0	7	59	239				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	15	13	p3	6	-1	1	0	7	1029	59				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	16	14	p3	6	0	0	0	6	734	1029				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	17	15	p3	6	0	0	0	6	1129	734				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	18	16	p3	6	0	0	0	6	1026	1129				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	19	17	e1	7	1	1	1	6	416	1026				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	Prac	20	18	e1	7	0	0	0	7	345	416				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	PostTest	1	0	N2	2	NA	NA	0	7	1704	NA				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	PostTest	2	1	P2	5	NA	NA	1	2	1591	NA				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s001	self	PostTest	3	2	E2	8	NA	NA	1	5	293	NA				1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s002	self	Prac	1	-1	n1	1	NA	NA	NA	NA	952	NA				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	2	0	n2	2	1	1	1	1	1287	952				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	3	1	n3	3	1	1	1	2	1312	1287				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	4	2	n3	3	0	0	0	3	1514	1312				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	5	3	p1	4	1	1	1	3	1159	1514				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	6	4	p1	4	0	0	0	4	469	1159				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	7	5	p1	4	0	0	0	4	878	469				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	8	6	p1	4	0	0	0	4	804	878				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	9	7	p1	4	0	0	0	4	884	804				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	10	8	p1	4	0	0	0	4	1213	884				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	11	9	p1	4	0	0	0	4	1008	1213				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	12	10	p1	4	0	0	0	4	1305	1008				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	13	11	p2	5	1	1	1	4	1435	1305				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	14	12	p3	6	1	1	1	5	923	1435				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	15	13	p3	6	0	0	0	6	724	923				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	16	14	p3	6	0	0	0	6	1430	724				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	17	15	e1	7	1	1	1	6	293	1430				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	18	16	e1	7	0	0	0	7	167	293				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	19	17	e1	7	0	0	0	7	187	167				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	Prac	20	18	e1	7	0	0	0	7	382	187				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	PostTest	1	0	N2	2	NA	NA	0	7	1727	NA				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	PostTest	2	1	P2	5	NA	NA	1	2	1410	NA				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s002	self	PostTest	3	2	E2	8	NA	NA	1	5	320	NA				952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s003	self	Prac	1	-1	n1	1	NA	NA	NA	NA	1342	NA				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s003	self	Prac	2	0	n2	2	1	1	1	1	1375	1342				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s003	self	Prac	3	1	n3	3	1	1	1	2	1608	1375				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s003	self	Prac	4	2	p1	4	1	1	1	3	1449	1608				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s003	self	Prac	5	3	p2	5	1	1	1	4	1359	1449				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s003	self	Prac	6	4	p2	5	0	0	0	5	1359	1359				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s003	self	Prac	7	5	p2	5	0	0	0	5	1251	1359				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s003	self	Prac	8	6	p2	5	0	0	0	5	1278	1251				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s003	self	Prac	9	7	p3	6	1	1	1	5	1400	1278				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s003	self	Prac	10	8	p3	6	0	0	0	6	988	1400				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s003	self	Prac	11	9	p3	6	0	0	0	6	1482	988				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s003	self	Prac	12	10	e1	7	1	1	1	6	132	1482				1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
