ID	SubID	meanDiff	sdDiff	countChange	ScoreTotal	ScoreMean	Pre	FA	US	AES	END	NOV	INV	EngTotal	Enj	Comp	Effort	Tens	ImiTotal
s001	s001	5.473684211	1.678902454	8	17257	908.2631579	1549	5.375	5.142857143	5.75	4.5	5.333333333	5.666666667	5.294642857	4.571428571	5.5	7	4.4	5.367857143
s002	s002	4.789473684	1.548438187	6	17374	914.4210526	952	4.875	5.142857143	4.25	3.75	5	5.333333333	4.725198413	4.428571429	4	5.2	4.6	4.557142857
s003	s003	5.105263158	1.286456669	10	22229	1169.947368	1342	2.125	4.285714286	3.5	2.25	3.666666667	4.333333333	3.360119048	4.285714286	5.5	6	5.6	5.346428571
s004	s004	3.9	1.713721712	7	19386	969.3	969	2.5	4	6.5	7	7	7	5.666666667	6.857142857	5.833333333	7	6.6	6.572619048
s005	s005	6.8	3.001753873	9	9519	475.95	1571	4.5	5.714285714	5	3.75	3.333333333	5	4.549603175	4.142857143	3.333333333	4.4	5.2	4.269047619
s006	s006	4.55	1.761428846	6	17363	868.15	433	2.25	6.428571429	4.25	3	3.333333333	3.666666667	3.821428571	3	4.666666667	1.8	6.8	4.066666667
s007	s007	2.15	0.74515982	2	21656	1082.8	1084	1.75	5.142857143	2.75	2.75	2	5.666666667	3.343253968	3.142857143	3	7	6.6	4.935714286
s008	s008	5.65	1.78517285	5	7069	353.45	543	4.375	5	4.5	4.25	3.666666667	4.666666667	4.409722222	4.571428571	4.5	5	4	4.517857143
s009	s009	3.7	1.174285897	5	22405	1120.25	839	2.5	4.571428571	4.5	3.25	3	3.666666667	3.581349206	2.714285714	4.5	5.6	6.8	4.903571429
s010	s010	4.75	1.650358813	8	18880	944	836	2.75	4	5.75	3.5	4.666666667	4.666666667	4.222222222	4.714285714	1.666666667	4.6	4.4	3.845238095
s011	s011	5.25	1.773340588	6	17898	894.9	1259	3	4.714285714	5.75	5.25	5.666666667	5	4.896825397	5.428571429	3.166666667	5.4	3.4	4.348809524
s012	s012	6.25	2.149051198	8	11174	558.7	1168	3.625	5.428571429	4.5	4	2.333333333	5	4.14781746	3.142857143	4.833333333	4.2	5.2	4.344047619
s013	s013	5.05	1.571958216	7	11903	595.15	844	4.625	4.428571429	4	3.75	4.666666667	5.333333333	4.467261905	5	2.666666667	5.6	6.2	4.866666667
s014	s014	4.7	1.688973528	7	16993	849.65	758	5.375	5.285714286	4.25	5.75	5.333333333	6	5.33234127	6	5.166666667	6.4	5	5.641666667
s015	s015	4.8	2.041671142	7	14192	709.6	58	5.125	3.714285714	5.25	5	5.333333333	6.666666667	5.181547619	6.571428571	3.666666667	7	5	5.55952381
s017	s017	4.6	2.458069418	7	15139	756.95	1029	3.75	5.714285714	5	4.75	4.333333333	5.333333333	4.813492063	5.714285714	4	5.4	6	5.278571429
s018	s018	5.15	2.007223796	11	12072	603.6	1240	5	4.285714286	4.5	3.25	3.666666667	6	4.450396825	4.857142857	3.166666667	3.8	6.6	4.605952381
s019	s019	3.1	0.718184846	10	23549	1177.45	873	5.875	3.714285714	5.25	5	5.666666667	6	5.250992063	6.285714286	4.666666667	5.4	4	5.088095238
s020	s020	5.95	1.605090586	9	17875	893.75	874	4.375	7	5.75	5.75	6.666666667	7	6.090277778	6.142857143	5.666666667	2.4	4.8	4.752380952
s021	s021	6.75	1.915999121	12	12932	646.6	1271	4.125	5.142857143	3	4	3.333333333	5.333333333	4.155753968	4.571428571	4.5	6	3.6	4.667857143
s022	s022	5.85	2.207046133	8	12652	632.6	969	3.25	3	2.75	3.5	3.666666667	6	3.694444444	4.428571429	4.333333333	6.4	3.4	4.64047619
s023	s023	6.55	2.327750213	12	10858	542.9	1346	6	4.714285714	5.5	5.5	5.666666667	6.666666667	5.674603175	6.428571429	6.5	7	3	5.732142857
s024	s024	6.95	2.139232523	10	11872	593.6	749	4.875	3.571428571	3.5	4.5	4	5.666666667	4.35218254	5.285714286	5.166666667	6.4	5.2	5.513095238
s025	s025	5.1	1.889026483	8	13082	654.1	856	3.875	4.857142857	6	4.25	4.666666667	5.666666667	4.885912698	4.857142857	5.833333333	6.2	4.6	5.372619048
s026	s026	5.55	1.986136159	11	15305	765.25	1363	5.25	3.714285714	5.25	5.25	5.666666667	5.666666667	5.132936508	5.285714286	4.333333333	4.2	6.6	5.104761905
s027	s027	7.2	2.706716792	8	8600	430	1351	2	6.428571429	2	1.5	1.333333333	1.666666667	2.488095238	1	1	3	7	3
s028	s028	4.45	2.139232523	6	20782	1039.1	1380	3.375	3	4.25	3.5	2.666666667	4.666666667	3.576388889	5.285714286	3.166666667	4.6	4	4.263095238
s029	s029	4.8	2.284962282	8	14905	745.25	1373	4.125	4.857142857	4.25	3.75	3.666666667	4.666666667	4.219246032	5	4	5.6	5.4	5
s030	s030	6.1	1.83245593	13	12197	609.85	1458	5.5	4.428571429	5.25	6	5.666666667	5.333333333	5.363095238	5.142857143	5.833333333	5	3.6	4.894047619
s031	s031	7.45	2.038446261	10	6801	340.05	1139	5.625	3.714285714	4.25	5.75	6.333333333	6	5.278769841	6.714285714	6.333333333	6.4	3.8	5.811904762
