"","index","dv1_int","dv1_slope","mod1_int","mod1_slope"
"1",1,143.5,6,143.5,6
"2",2,179.333333333334,4.49999999999996,179.333333333334,4.49999999999996
"3",3,152.6,7.59999999999999,152.6,7.59999999999999
"4",4,214.333333333334,-3.00000000000005,214.333333333334,-3.00000000000005
"5",5,200.2,1.69999999999999,200.2,1.69999999999999
"6",6,176.4,2.89999999999999,176.4,2.89999999999999
"7",7,169.2,6.2,169.2,6.2
"8",8,184,1.49999999999999,184,1.49999999999999
"9",9,95.9,10.4,95.9,10.4
"10",10,169.333333333334,6.49999999999996,169.333333333334,6.49999999999996
"11",11,188,6.50000000000001,188,6.50000000000001
"12",12,193,7,193,7
"13",13,216.5,2.50000000000001,216.5,2.50000000000001
"14",14,137.3,12.3,137.3,12.3
"15",15,171.666666666667,8.99999999999994,171.666666666667,8.99999999999994
"16",16,225.5,0.5,225.5,0.5
"17",17,175.7,5.20000000000001,175.7,5.20000000000001
"18",18,215.1,0.600000000000006,215.1,0.600000000000006
"19",19,199.333333333334,2.99999999999996,199.333333333334,2.99999999999996
"20",20,190.9,3.4,190.9,3.4
"21",21,222.333333333334,2.99999999999994,222.333333333334,2.99999999999994
"22",22,178.333333333333,8.49999999999998,178.333333333333,8.49999999999998
