subid	read.1	read.2	read.3	read.4	grade.1	grade.2	grade.3	grade.4	risk
1	172	185	179	194	4	5	6	7	HHM
2	149	189	206	195	5	6	7	8	HHM
3	201	199	203	215	4	6	7	8	HHM
4	200	210	209	-99	5	6	7	8	HHM
5	200	195	194	-99	4	6	7	8	HHM
6	207	213	212	213	5	6	7	8	HHM
7	199	208	213	218	5	6	7	8	POV
8	191	194	194	-99	4	6	7	8	POV
9	149	154	174	177	5	6	7	8	POV
10	228	212	213	-99	5	6	7	8	POV
11	229	231	233	239	4	5	6	7	POV
12	227	232	248	246	4	6	7	8	POV
13	228	236	228	239	5	6	7	8	ADV
14	225	210	225	235	4	5	6	7	ADV
15	218	223	236	-99	5	6	7	8	ADV
16	218	226	234	227	5	6	7	8	ADV
17	201	210	208	219	4	6	7	8	ADV
18	210	220	217	221	5	6	7	8	ADV
19	215	216	221	-99	4	5	6	7	ADV
20	204	215	219	214	4	6	7	8	ADV
21	237	241	243	-99	5	6	7	8	ADV
22	219	233	236	-99	5	6	7	8	ADV
