subid	risk	gen	eth	ell	sped	att	read.5	read.6	read.7	read.8
1	HHM	F	Afr	0	N	0.94	172	185	179	194
2	HHM	F	Afr	0	N	0.91	200	210	209	
3	HHM	M	Afr	0	N	0.97	191	199	203	215
4	HHM	F	Afr	0	N	0.88	200	195	194	
5	HHM	F	Afr	0	N	0.85	207	213	212	213
6	HHM	M	Afr	0	N	0.9	191	189	206	195
7	POV	M	Afr	1	N	0.97	199	208	213	218
8	POV	F	His	1	Y	0.97	191	194	194	
9	POV	F	Afr	0	Y	0.97	149	154	174	177
10	POV	F	Afr	0	N	0.96	200	212	213	
11	POV	F	Whi	0	N	0.98	178	191	193	199
12	POV	F	Whi	0	Y	0.96	188	192	208	206
13	ADV	F	Whi	0	N	0.99	228	236	228	239
14	ADV	M	Afr	1	N	0.99	199	210	225	235
15	ADV	F	Whi	0	N	1	218	223	236	
16	ADV	M	Whi	0	N	0.97	228	226	234	227
17	ADV	M	Whi	0	N	0.98	201	210	208	219
18	ADV	M	Whi	0	N	1	218	220	217	221
19	ADV	F	Whi	0	N	0.96	215	216	221	
20	ADV	F	Afr	0	N	0.95	204	215	219	214
21	ADV	M	Whi	0	N	0.98	237	241	243	
22	ADV	F	Afr	0	N	0.96	219	233	236	
