subid,read.5,read.6,read.7,read.8,risk,gen,eth,ell,sped,att
1,172,185,179,194,HHM,F,Afr,0,N,0.94
2,200,210,209,-99,HHM,F,Afr,0,N,0.91
3,191,199,203,215,HHM,M,Afr,0,N,0.97
4,200,195,194,-99,HHM,F,Afr,0,N,0.88
5,207,213,212,213,HHM,F,Afr,0,N,0.85
6,191,189,206,195,HHM,M,Afr,0,N,0.9
7,199,208,213,218,POV,M,Afr,1,N,0.97
8,191,194,194,-99,POV,F,His,1,Y,0.97
9,149,154,174,177,POV,F,Afr,0,Y,0.97
10,200,212,213,-99,POV,F,Afr,0,N,0.96
11,218,231,233,239,POV,F,Whi,0,N,0.98
12,228,232,248,246,POV,F,Whi,0,Y,0.96
13,228,236,228,239,ADV,F,Whi,0,N,0.99
14,199,210,225,235,ADV,M,Afr,1,N,0.99
15,218,223,236,-99,ADV,F,Whi,0,N,1
16,228,226,234,227,ADV,M,Whi,0,N,0.97
17,201,210,208,219,ADV,M,Whi,0,N,0.98
18,218,220,217,221,ADV,M,Whi,0,N,1
19,215,216,221,-99,ADV,F,Whi,0,N,0.96
20,204,215,219,214,ADV,F,Afr,0,N,0.95
21,237,241,243,-99,ADV,M,Whi,0,N,0.98
22,219,233,236,-99,ADV,F,Afr,0,N,0.96
