subid risk2 unif read.7 MCAR MAR NMAR
9 DADV 94.47 174 174 174 NA
1 DADV 26.55 179 NA NA NA
8 DADV 89.84 194 194 194 NA
4 DADV 90.82 194 194 194 NA
3 DADV 57.29 203 203 NA NA
6 DADV 20.17 206 NA NA 206
2 DADV 37.21 209 209 NA 209
10 DADV 66.08 213 213 213 213
11 DADV 62.91 233 233 233 233
12 DADV 6.18 248 NA NA 248
17 ADV 76.98 208 208 208 208
18 ADV 49.77 217 217 217 217
20 ADV 99.19 219 219 219 219
19 ADV 71.76 221 221 221 221
14 ADV 17.66 225 NA 225 225
13 ADV 20.60 228 NA 228 228
16 ADV 38.41 234 234 234 234
15 ADV 68.70 236 236 236 236
22 ADV 77.74 236 236 236 236
21 ADV 38.00 243 243 243 243
